SETTLEMENTDATE,REGIONID,RRP
2025/06/30 09:00:00,QLD1,256.1
2025/06/30 09:05:00,QLD1,256.1
2025/06/30 09:10:00,QLD1,328.1359
2025/06/30 09:15:00,QLD1,328.95399
2025/06/30 09:20:00,QLD1,256.1
2025/06/30 09:25:00,QLD1,334.42882
2025/06/30 09:30:00,QLD1,214.43
2025/06/30 09:35:00,QLD1,284.92
2025/06/30 09:40:00,QLD1,349.75
2025/06/30 09:45:00,QLD1,284.92
2025/06/30 09:50:00,QLD1,256.1
2025/06/30 09:55:00,QLD1,525.0
2025/06/30 10:00:00,QLD1,350.0
2025/06/30 10:05:00,QLD1,243.0
2025/06/30 10:10:00,QLD1,312.87852
2025/06/30 10:15:00,QLD1,316.45142
2025/06/30 10:20:00,QLD1,284.92
2025/06/30 10:25:00,QLD1,301.63067
2025/06/30 10:30:00,QLD1,247.73
2025/06/30 10:35:00,QLD1,247.73
2025/06/30 10:40:00,QLD1,912.0
2025/06/30 10:45:00,QLD1,350.0
2025/06/30 10:50:00,QLD1,256.1
2025/06/30 10:55:00,QLD1,288.74884
2025/06/30 11:00:00,QLD1,247.73
2025/06/30 11:05:00,QLD1,299.87649
2025/06/30 11:10:00,QLD1,274.12687
2025/06/30 11:15:00,QLD1,213.50632
2025/06/30 11:20:00,QLD1,215.14472
2025/06/30 11:25:00,QLD1,222.58549
2025/06/30 11:30:00,QLD1,167.06856
2025/06/30 11:35:00,QLD1,214.43
2025/06/30 11:40:00,QLD1,222.62944
2025/06/30 11:45:00,QLD1,176.48154
2025/06/30 11:50:00,QLD1,228.05915
2025/06/30 11:55:00,QLD1,226.3169
2025/06/30 12:00:00,QLD1,190.3
2025/06/30 12:05:00,QLD1,199.7437
2025/06/30 12:10:00,QLD1,214.43
2025/06/30 12:15:00,QLD1,198.76476
2025/06/30 12:20:00,QLD1,214.43
2025/06/30 12:25:00,QLD1,192.2898
2025/06/30 12:30:00,QLD1,173.7617
2025/06/30 12:35:00,QLD1,160.22184
2025/06/30 12:40:00,QLD1,187.31193
2025/06/30 12:45:00,QLD1,206.18662
2025/06/30 12:50:00,QLD1,187.11525
2025/06/30 12:55:00,QLD1,128.65203
2025/06/30 13:00:00,QLD1,187.45766
2025/06/30 13:05:00,QLD1,163.48699
2025/06/30 13:10:00,QLD1,203.51802
2025/06/30 13:15:00,QLD1,177.0939
2025/06/30 13:20:00,QLD1,162.0744
2025/06/30 13:25:00,QLD1,178.57728
2025/06/30 13:30:00,QLD1,181.9593
2025/06/30 13:35:00,QLD1,127.54
2025/06/30 13:40:00,QLD1,127.54
2025/06/30 13:45:00,QLD1,127.54
2025/06/30 13:50:00,QLD1,109.23
2025/06/30 13:55:00,QLD1,109.63567
2025/06/30 14:00:00,QLD1,75.43729
